R1					
5					
5					
30	50	80	120	200	
0	40	70	100	130	
					
50	58	64	71	1	
80	88	96	103	1	
140	149	157	164	1	
250	259	268	276	1	
500	510	519	528	1	
					
10	18	24	30	1	
16	24	32	39	1	
28	37	45	52	1	
50	59	68	76	1	
100	110	119	128	1	
					
5	13	19	26	1	
8	16	24	31	1	
14	23	31	38	1	
25	34	43	51	1	
50	60	69	78	1	
					
C1					
3					
5					
100	200	300			
0	40	70	100	130	
					
300	315	329	343	1	
800	816	831	845	1	
1,350	1,366	1,382	1,397	1	
					
60	75	89	103	1	
160	176	191	205	1	
270	286	302	317	1	
					
30	45	59	73	1	
80	96	111	125	1	
135	151	167	182	1	
					
RC1					
4					
5					
40	80	150	200		
0	40	70	100	130	
					
60	68	76	83	1	
150	159	167	174	1	
300	309	318	326	1	
450	460	469	478	1	
					
12	20	28	35	1	
30	39	47	54	1	
60	69	78	86	1	
90	100	109	118	1	
					
6	14	22	29	1	
15	24	32	39	1	
30	39	48	56	1	
45	55	64	73	1	
					
R2					
4					
6					
300	400	600	1,000		
0	80	140	200	260	320
					
450	480	509	536	563	1
700	731	761	790	818	1
1,200	1,232	1,264	1,294	1,322	1
2,500	2,534	2,566	2,597	2,627	1
					
90	120	149	176	203	1
140	171	201	230	258	1
240	272	304	334	362	1
500	534	566	597	627	1
					
45	75	104	131	158	1
70	101	131	160	188	1
120	152	184	214	242	1
250	284	316	347	377	1
					
C2					
4					
6					
400	500	600	700		
0	80	140	200	260	320
					
1,000	1,030	1,059	1,086	1,113	1
1,400	1,431	1,461	1,490	1,518	1
2,000	2,032	2,064	2,094	2,122	1
2,700	2,734	2,766	2,797	2,827	1
					
200	230	259	286	313	1
280	311	341	370	398	1
400	432	464	494	522	1
540	574	606	637	667	1
					
100	130	159	186	213	1
140	171	201	230	258	1
200	232	264	294	322	1
270	304	336	367	397	1
					
RC2					
6					
6					
100	200	300	400	500	1,000
0	80	140	200	260	320
					
150	178	204	229	253	1
350	379	406	433	458	1
550	580	609	636	663	1
800	831	861	890	918	1
1,100	1,132	1,164	1,194	1,222	1
2,500	2,534	2,566	2,597	2,627	1
					
30	58	84	109	133	1
70	99	126	153	178	1
110	140	169	196	223	1
160	191	221	250	278	1
220	252	284	314	342	1
500	534	566	597	627	1
					
15	43	69	94	118	1
35	64	91	118	143	1
55	85	114	141	168	1
80	111	141	170	198	1
110	142	174	204	232	1
250	284	316	347	377	1
