Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: Cross
Instance Time_SCIH2 Result_SCIH2 #Routes Time_Cross Cross Routes Qt.Improvements
R101a 0.003 2905.6 36 0.265 2856 36 7
R101b 0.003 855.3 32 0.17 844.5 32 3
R101c 0.003 595 27 0.176 581 27 3
R102a 0.006 2871.2 37 0.346 2830.9 37 9
R102b 0.004 836.8 30 0.167 819 30 3
R102c 0.005 602 26 0.331 577 26 6
R103a 0.008 2874.9 36 0.409 2790 36 10
R103b 0.008 809.8 29 0.361 786.2 29 7
R103c 0.009 571.2 27 0.286 557.2 27 5
R104a 0.011 2852.4 36 0.41 2824.2 36 8
R104b 0.013 781.2 28 0.109 780.2 28 1
R104c 0.011 529.3 24 0.161 525.3 24 2
R105a 0.004 2894.1 37 0.288 2842 37 8
R105b 0.004 818.4 30 0.121 808.4 30 2
R105c 0.005 568 28 0.296 554 28 6
R106a 0.007 2918.5 38 0.322 2857 38 8
R106b 0.008 807.8 30 0.175 804.8 30 3
R106c 0.007 560 25 0.283 543.3 25 5
R107a 0.009 2901 37 0.444 2826 37 10
R107b 0.01 807 29 0.235 792 29 4
R107c 0.01 540.1 25 0.307 531 25 5
R108a 0.01 2861.4 36 0.385 2804 36 7
R108b 0.014 779 28 0.11 772 28 1
R108c 0.013 533.3 24 0.213 528.3 24 3
R109a 0.007 2934.1 36 0.397 2847.1 36 10
R109b 0.007 811 30 0.262 793 30 5
R109c 0.007 550 25 0.311 531 25 6
R110a 0.009 2902.4 35 0.389 2822 35 9
R110b 0.008 798 30 0.217 783 30 4
R110c 0.008 544.5 26 0.285 524.5 26 5
R111a 0.01 2897.3 35 0.478 2828 35 10
R111b 0.009 804.2 28 0.144 795.2 28 2
R111c 0.008 553.4 24 0.148 542.4 24 2
R112a 0.011 2861.6 35 0.498 2793 35 10
R112b 0.013 795 29 0.208 779 29 3
R112c 0.013 542 26 0.276 521 26 4
R201a 0.026 3307.6 6 0.39 3238.6 6 4
R201b 0.025 1147.6 6 0.396 1078.6 6 4
