Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: Relocate
Instance Time_SCIH2 Result_SCIH2 #Routes Time_Relocate Cost_Relocate Routes Qt.Improvements
R101a 0.003 2905.6 36 0.008 2888.6 36 1
R101b 0.003 855.3 32 0.013 838.8 31 1
R101c 0.003 595 27 0.005 593 28 1
R102a 0.005 2871.2 37 0.006 2850.2 36 1
R102b 0.005 836.8 30 0.002 836.8 30 0
R102c 0.005 602 26 0.019 575 28 1
R103a 0.007 2874.9 36 0.019 2802 35 1
R103b 0.008 809.8 29 0.009 798.8 30 1
R103c 0.007 571.2 27 0.008 563.2 27 1
R104a 0.01 2852.4 36 0.011 2822.3 35 1
R104b 0.012 781.2 28 0.007 778 29 1
R104c 0.011 529.3 24 0.005 526.3 24 1
R105a 0.004 2894.1 37 0.011 2854.3 37 1
R105b 0.004 818.4 30 0.006 812.4 30 1
R105c 0.004 568 28 0.009 560 28 1
R106a 0.007 2918.5 38 0.014 2878 38 1
R106b 0.008 807.8 30 0.01 795.8 29 1
R106c 0.007 560 25 0.008 550 25 1
R107a 0.009 2901 37 0.014 2848.9 36 1
R107b 0.01 807 29 0.005 804 30 1
R107c 0.01 540.1 25 0.002 540.1 25 0
R108a 0.01 2861.4 36 0.022 2784.3 34 1
R108b 0.014 779 28 0.001 779 28 0
R108c 0.013 533.3 24 0.006 528.3 25 1
R109a 0.006 2934.1 36 0.014 2847.5 35 1
R109b 0.006 811 30 0.007 803 31 1
R109c 0.007 550 25 0.002 550 25 0
R110a 0.008 2902.4 35 0.015 2837 35 1
R110b 0.009 798 30 0.008 782 30 1
R110c 0.008 544.5 26 0.017 525.5 26 1
R111a 0.009 2897.3 35 0.019 2829 34 1
R111b 0.011 804.2 28 0.012 790.5 28 1
R111c 0.01 553.4 24 0.008 548 24 1
R112a 0.013 2861.6 35 0.011 2819.9 34 1
R112b 0.013 795 29 0.006 787 29 1
R112c 0.012 542 26 0.008 530 25 1
R201a 0.026 3307.6 6 0.018 2830.2 5 1
R201b 0.025 1147.6 6 0.024 993.6 5 1
R201c 0.022 749 12 0.002 749 12 0
R202a 0.052 2929.5 5 0.02 2756.3 5 1
R202b 0.055 1043.6 6 0.013 934 5 1
R202c 0.044 742 10 0.002 742 10 0
R203a 0.096 3189.6 6 0.011 2707 5 1
R203b 0.091 907 5 0.002 907 5 0
R203c 0.072 674 11 0.002 674 11 0
R204a 0.159 3143.6 5 0.006 3103 5 1
R204b 0.157 908 5 0.008 852 5 1
R204c 0.138 584 9 0.005 583 9 1
R205a 0.049 3491.4 5 0.018 3244.2 5 1
R205b 0.05 1016.1 5 0.015 981.6 5 1
R205c 0.041 701 11 0.002 701 11 0
R206a 0.084 3029.4 5 0.01 2908 5 1
R206b 0.078 967.5 5 0.013 826 5 1
R206c 0.047 630 10 0.002 630 10 0
R207a 0.13 2712.3 5 0.008 2653 5 1
R207b 0.146 912.3 5 0.006 853 5 1
R207c 0.077 645 11 0.002 645 11 0
R208a 0.193 2793 5 0.002 2793 5 0
R208b 0.203 793 5 0.002 793 5 0
R208c 0.176 536 8 0.002 536 8 0
R209a 0.075 2681.3 5 0.005 2653 5 1
R209b 0.081 881.3 5 0.005 853 5 1
R209c 0.096 606 7 0.002 606 7 0
R210a 0.07 2717.4 5 0.007 2680 5 1
R210b 0.068 917.4 5 0.007 880 5 1
R210c 0.051 670 9 0.002 670 9 0
R211a 0.093 2653 5 0.002 2653 5 0
R211b 0.096 853 5 0.001 853 5 0
R211c 0.085 583 9 0.005 580 9 1
C101a 0.004 6179 19 0.001 6179 19 0
C101b 0.004 1591 19 0.001 1591 19 0
C101c 0.005 1021 19 0.001 1021 19 0
C102a 0.006 6165 19 0.006 6150 19 1
C102b 0.006 1605 19 0.005 1590 19 1
C102c 0.006 992 19 0.002 992 19 0
C103a 0.009 6164 19 0.002 6164 19 0
C103b 0.009 1604 19 0.002 1604 19 0
C103c 0.009 1020 19 0.002 1020 19 0
C104a 0.011 6164 19 0.002 6164 19 0
C104b 0.012 1604 19 0.002 1604 19 0
C104c 0.011 1036 19 0.005 1035 19 1
C105a 0.005 6193 19 0.004 6179 19 1
C105b 0.005 1605 19 0.001 1605 19 0
C105c 0.005 1021 19 0.001 1021 19 0
C106a 0.005 6165 19 0.002 6165 19 0
C106b 0.006 1605 19 0.002 1605 19 0
C106c 0.005 1035 19 0.001 1035 19 0
C107a 0.006 6207 19 0.005 6179 19 1
C107b 0.006 1591 19 0.002 1591 19 0
C107c 0.006 1021 19 0.002 1021 19 0
C108a 0.007 6164 19 0.002 6164 19 0
C108b 0.007 1604 19 0.002 1604 19 0
C108c 0.006 1021 19 0.001 1021 19 0
C109a 0.008 6164 19 0.002 6164 19 0
C109b 0.008 1604 19 0.002 1604 19 0
C109c 0.008 1035 19 0.001 1035 19 0
C201a 0.021 5264 5 0.002 5264 5 0
C201b 0.021 1264 5 0.002 1264 5 0
C201c 0.021 834 6 0.002 834 6 0
C202a 0.05 5264 5 0.002 5264 5 0
C202b 0.051 1264 5 0.001 1264 5 0
C202c 0.051 834 6 0.001 834 6 0
C203a 0.075 5322 5 0.002 5322 5 0
C203b 0.08 1322 5 0.002 1322 5 0
C203c 0.076 822 5 0.002 822 5 0
C204a 0.134 5347 5 0.007 5291 5 1
C204b 0.121 1347 5 0.007 1291 5 1
C204c 0.135 906 5 0.007 841 4 1
C205a 0.033 5347 5 0.009 5264 5 1
C205b 0.031 1347 5 0.009 1264 5 1
C205c 0.031 888 6 0.007 834 6 1
C206a 0.045 5291 5 0.005 5264 5 1
C206b 0.048 1291 5 0.005 1264 5 1
C206c 0.043 834 6 0.002 834 6 0
C207a 0.049 5264 5 0.002 5264 5 0
C207b 0.052 1264 5 0.001 1264 5 0
C207c 0.055 834 6 0.002 834 6 0
C208a 0.062 5374 5 0.009 5293 5 1
C208b 0.064 1374 5 0.008 1293 5 1
C208c 0.07 863 5 0.001 863 5 0
RC101a 0.003 3383 45 0.008 3361 45 1
RC101b 0.003 1075.7 32 0.007 1055.7 31 1
RC101c 0.003 739.2 22 0.009 724.4 23 1
RC102a 0.006 3369 45 0.005 3361 45 1
RC102b 0.005 1059.2 32 0.005 1057 32 1
RC102c 0.004 705.9 22 0.007 691.7 24 1
RC103a 0.007 3337 45 0.002 3337 45 0
RC103b 0.006 1065.5 32 0.001 1065.5 32 0
RC103c 0.005 692.1 21 0.012 680.3 23 1
RC104a 0.008 3337 45 0.001 3337 45 0
RC104b 0.009 1064 31 0.001 1064 31 0
RC104c 0.007 667.8 18 0.008 658.2 21 1
RC105a 0.005 3345 45 0.001 3345 45 0
RC105b 0.004 1097 32 0.013 1066 31 1
RC105c 0.004 701.1 21 0.004 700.1 22 1
RC106a 0.005 3343.8 45 0.007 3330 45 1
RC106b 0.005 1046.4 31 0.007 1035 31 1
RC106c 0.004 734.1 19 0.014 707.5 22 1
RC107a 0.006 3346.7 45 0.005 3330 45 1
RC107b 0.007 1050.3 30 0.006 1046 30 1
RC107c 0.006 676.6 18 0.006 672 18 1
RC108a 0.008 3343.8 45 0.005 3330 45 1
RC108b 0.008 1056.4 29 0.005 1052 29 1
RC108c 0.007 639.6 18 0.009 624.7 19 1
RC201a 0.014 3170 18 0.004 3144 18 1
RC201b 0.014 880 21 0.002 880 21 0
RC201c 0.017 604 18 0.004 589 17 1
RC202a 0.02 3226 18 0.007 3146 18 1
RC202b 0.019 878 20 0.002 878 20 0
RC202c 0.023 574 16 0.001 574 16 0
RC203a 0.028 3172 18 0.008 3118 18 1
RC203b 0.028 852 20 0.002 852 20 0
RC203c 0.03 514 17 0.002 514 17 0
RC204a 0.035 3144 18 0.005 3118 18 1
RC204b 0.034 852 20 0.002 852 20 0
RC204c 0.065 531 20 0.002 531 20 0
RC205a 0.019 3116 18 0.005 3090 18 1
RC205b 0.019 878 20 0.001 878 20 0
RC205c 0.028 574 16 0.002 574 16 0
RC206a 0.024 3200 18 0.011 3090 18 1
RC206b 0.022 880 21 0.002 880 21 0
RC206c 0.027 534 17 0.002 534 17 0
RC207a 0.027 3170 18 0.01 3090 18 1
RC207b 0.025 876 19 0.001 876 19 0
RC207c 0.036 547 16 0.002 547 16 0
