Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: VNS Basic_Relocate
 RodadasSemMelhoraShake:10 MaxTrocasRelocate:40 MaxTrocasCross:1 MaxTrocas2opt:50
Instance Tempo_SCIH2 Result_SCIH2 #Routes Tempo_VNS VNS Routes QtdMelhorias
R101a 0.002 2905.6 36 780.019 2776 36 22
R101b 0.002 855.3 32 780.009 785 32 19
R101c 0.002 595 27 780.018 531 27 28
R102a 0.006 2871.2 37 780.017 2733 37 24
R102b 0.005 836.8 30 780.012 779 30 21
R102c 0.006 602 26 780.01 521 26 29
R103a 0.007 2874.9 36 780.015 2722 36 19
R103b 0.008 809.8 29 780.007 748 29 22
R103c 0.008 571.2 27 780.015 489.2 27 35
R104a 0.011 2852.4 36 780.017 2692 36 31
R104b 0.013 781.2 28 780.017 735 28 14
R104c 0.011 529.3 24 780.019 473 24 23
R105a 0.004 2894.1 37 780.022 2750 37 25
R105b 0.005 818.4 30 780.013 757.4 30 18
R105c 0.004 568 28 780.008 513 28 21
R106a 0.007 2918.5 38 780.02 2719 38 31
R106b 0.008 807.8 30 780.019 744.4 30 22
R106c 0.007 560 25 780.014 490 25 29
R107a 0.009 2901 37 780.015 2695 37 32
R107b 0.01 807 29 780.019 734 29 29
R107c 0.01 540.1 25 780.018 481 25 22
R108a 0.01 2861.4 36 780.006 2680 36 26
R108b 0.013 779 28 780.013 731 28 15
R108c 0.012 533.3 24 780.014 469 24 28
R109a 0.006 2934.1 36 780.011 2716 36 24
R109b 0.006 811 30 780.01 740 30 23
R109c 0.007 550 25 780.017 498 25 20
R110a 0.008 2902.4 35 780.016 2708 35 24
R110b 0.009 798 30 780.019 737 30 17
R110c 0.008 544.5 26 780.007 485 26 17
R111a 0.009 2897.3 35 780.015 2672 35 33
R111b 0.009 804.2 28 780.017 745 28 21
R111c 0.008 553.4 24 780.02 488 24 29
R112a 0.012 2861.6 35 780.01 2707 35 18
R112b 0.014 795 29 780.008 724 29 16
R112c 0.012 542 26 780.014 468 26 27
R201a 0.027 3307.6 6 780.012 2734 6 10
R201b 0.025 1147.6 6 780.009 907 6 9
R201c 0.021 749 12 780.017 718 12 3
R202a 0.054 2929.5 5 780.022 2678 5 7
R202b 0.056 1043.6 6 780.017 880 6 5
R202c 0.042 742 10 780.021 699 10 3
R203a 0.096 3189.6 6 780.018 2599 6 10
R203b 0.096 907 5 780.011 826 5 4
R203c 0.075 674 11 780.012 640 11 4
R204a 0.15 3143.6 5 780.013 2570 5 6
R204b 0.152 908 5 780.016 743 5 7
R204c 0.139 584 9 780.014 549 9 5
R205a 0.053 3491.4 5 780.016 2651 5 9
R205b 0.052 1016.1 5 780.007 878 5 9
R205c 0.035 701 11 780.014 621 11 6
R206a 0.082 3029.4 5 780.014 2626 5 5
R206b 0.084 967.5 5 780.008 824 5 2
R206c 0.049 630 10 780.008 614 10 2
R207a 0.129 2712.3 5 780.016 2572 5 4
R207b 0.128 912.3 5 780.013 772 5 4
R207c 0.079 645 11 780.009 561 11 11
R208a 0.206 2793 5 780.018 2541 5 3
R208b 0.189 793 5 780.013 741 5 3
R208c 0.166 536 8 780.011 505 8 2
R209a 0.079 2681.3 5 780.01 2599 5 3
R209b 0.078 881.3 5 780.02 799 5 3
R209c 0.078 606 7 780.015 579 7 2
R210a 0.073 2717.4 5 780.011 2624 5 5
R210b 0.072 917.4 5 780.017 824 5 6
R210c 0.052 670 9 780.014 636 9 4
R211a 0.092 2653 5 780.023 2570 5 4
R211b 0.096 853 5 780.013 770 5 4
R211c 0.086 583 9 780.007 564 9 3
C101a 0.005 6179 19 780.014 6151 19 2
C101b 0.004 1591 19 780.016 1576 19 2
C101c 0.005 1021 19 780.017 1000 19 4
C102a 0.006 6165 19 780.008 6122 19 4
C102b 0.006 1605 19 780.018 1562 19 4
C102c 0.006 992 19 780.013 992 19 0
C103a 0.009 6164 19 780.013 6136 19 3
C103b 0.009 1604 19 780.007 1576 19 3
C103c 0.009 1020 19 780.019 999 19 2
C104a 0.011 6164 19 780.016 6136 19 2
C104b 0.011 1604 19 780.014 1576 19 2
C104c 0.011 1036 19 780.013 978 19 9
C105a 0.005 6193 19 780.018 6136 19 5
C105b 0.005 1605 19 780.007 1562 19 4
C105c 0.005 1021 19 780.006 992 19 3
C106a 0.005 6165 19 780.013 6136 19 3
C106b 0.005 1605 19 780.009 1576 19 3
C106c 0.005 1035 19 780.016 986 19 8
C107a 0.007 6207 19 780.016 6150 19 7
C107b 0.006 1591 19 780.01 1576 19 2
C107c 0.006 1021 19 780.023 978 19 6
C108a 0.007 6164 19 780.009 6136 19 3
C108b 0.006 1604 19 780.017 1576 19 3
C108c 0.007 1021 19 780.014 992 19 4
C109a 0.009 6164 19 780.013 6136 19 2
C109b 0.008 1604 19 780.011 1576 19 2
C109c 0.009 1035 19 780.014 1006 19 2
C201a 0.02 5264 5 780.009 5235 5 2
C201b 0.02 1264 5 780.014 1235 5 2
C201c 0.021 834 6 780.018 708 6 4
C202a 0.051 5264 5 780.01 5237 5 1
C202b 0.05 1264 5 780.014 1237 5 1
C202c 0.05 834 6 780.013 736 6 3
C203a 0.074 5322 5 780.017 5264 5 4
C203b 0.075 1322 5 780.019 1235 5 6
C203c 0.075 822 5 780.017 735 5 6
C204a 0.123 5347 5 780.018 5237 5 3
C204b 0.121 1347 5 780.016 1237 5 3
C204c 0.128 906 5 780.009 783 5 5
C205a 0.031 5347 5 780.009 5236 5 3
C205b 0.032 1347 5 780.009 1236 5 3
C205c 0.032 888 6 780.012 736 6 5
C206a 0.047 5291 5 780.017 5237 5 2
C206b 0.046 1291 5 780.016 1237 5 2
C206c 0.047 834 6 780.017 737 6 2
C207a 0.053 5264 5 780.014 5237 5 1
C207b 0.054 1264 5 780.019 1237 5 1
C207c 0.053 834 6 780.018 737 6 2
C208a 0.065 5374 5 780.014 5237 5 4
C208b 0.066 1374 5 780.013 1237 5 4
C208c 0.066 863 5 780.013 737 5 5
RC101a 0.003 3383 45 780.013 3301 45 11
RC101b 0.003 1075.7 32 780.011 1019.8 32 12
RC101c 0.002 739.2 22 780.02 670.8 22 19
RC102a 0.005 3369 45 780.011 3293 45 11
RC102b 0.005 1059.2 32 780.012 981.4 32 15
RC102c 0.004 705.9 22 780.023 650 22 16
RC103a 0.007 3337 45 780.016 3293 45 8
RC103b 0.006 1065.5 32 780.011 979 32 26
RC103c 0.005 692.1 21 780.014 619.5 21 22
RC104a 0.009 3337 45 780.017 3286 45 8
RC104b 0.008 1064 31 780.017 948 31 29
RC104c 0.008 667.8 18 780.012 593.8 18 18
RC105a 0.005 3345 45 780.01 3291 45 7
RC105b 0.004 1097 32 780.011 1019 32 13
RC105c 0.004 701.1 21 780.007 652.1 21 20
RC106a 0.005 3343.8 45 780.015 3248 45 10
RC106b 0.005 1046.4 31 780.014 992.2 31 14
RC106c 0.004 734.1 19 780.016 654.3 19 24
RC107a 0.007 3346.7 45 780.011 3278 45 10
RC107b 0.007 1050.3 30 780.016 972 30 19
RC107c 0.005 676.6 18 780.006 622 18 12
RC108a 0.008 3343.8 45 780.009 3277 45 8
RC108b 0.008 1056.4 29 780.017 967 29 27
RC108c 0.008 639.6 18 780.011 591.4 18 10
RC201a 0.015 3170 18 780.012 3090 18 6
RC201b 0.014 880 21 780.014 876 21 2
RC201c 0.017 604 18 780.02 558 18 5
RC202a 0.021 3226 18 780.014 3062 18 8
RC202b 0.021 878 20 780.009 876 20 1
RC202c 0.024 574 16 780.017 551 16 4
RC203a 0.03 3172 18 780.01 3036 18 4
RC203b 0.028 852 20 780.01 822 20 3
RC203c 0.032 514 17 780.017 508 17 1
RC204a 0.037 3144 18 780.02 3008 18 5
RC204b 0.036 852 20 780.01 816 20 3
RC204c 0.066 531 20 780.01 486 20 5
RC205a 0.019 3116 18 780.015 3034 18 4
RC205b 0.019 878 20 780.021 850 20 2
