Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive heuristics: GRASP
Instance Time_SCIH2 Result_SCIH2 #Routes Time_GRASP SolGRASP Routes Qt.Improvements
R1a10 0 352 6 780.004 344 6 1
R1b10 0 104 6 780.004 104 6 0
R1c10 0 87 4 780.003 74 6 2
R1a15 0 480 8 780.004 468 8 1
R1b15 0 164 5 780.004 147 6 1
R1c15 0 125 5 780.004 111 6 3
R1a20 0 653 11 780.004 588 10 3
R1b20 0.001 202 8 780.003 182 9 5
R1c20 0 148 8 780.003 128 9 5
R1a25 0 838 14 780.004 724 12 5
R1b25 0 260 9 780.005 229 10 5
R1c25 0.001 189 9 780.004 164 11 6
R2a10 0 536 1 780.004 536 1 0
R2b10 0.001 176 1 780.004 176 1 0
R2c10 0 180 4 780.002 180 4 0
R2a15 0 2340 5 780.007 2310 5 0
R2b15 0 540 5 780.007 510 5 0
R2c15 0 315 7 780.005 315 7 0
R2a20 0 1140.6 2 780.004 1043.3 2 2
R2b20 0 385.8 2 780.008 352 2 0
R2c20 0 284 5 780.007 284 5 0
R2a25 0 1195.5 2 780.004 1105.9 2 2
R2b25 0 413.8 2 780.004 379 2 0
R2c25 0 374 7 780.004 374 7 0
C1a10 0 943 3 780.004 929 3 1
C1b10 0 223 3 780.005 209 3 1
C1c10 0 133 3 780.006 90 3 2
C1a15 0 973 3 780.008 959 3 0
C1b15 0 253 3 780.009 239 3 0
C1c15 0 163 3 780.007 149 3 0
C1a20 0.001 1273 4 780.008 1259 4 1
C1b20 0 313 4 780.007 299 4 1
C1c20 0 193 4 780.008 179 4 1
C1a25 0 1729.1 5 780.006 1588 5 1
C1b25 0 430 5 780.009 388 5 1
C1c25 0 280 5 780.013 238 5 1
C2a10 0 2030 2 780.005 2030 2 0
C2b10 0 430 2 780.004 430 2 0
C2c10 0 230 2 780.007 230 2 0
C2a15 0 2059 2 780.007 2030 2 0
C2b15 0 459 2 780.004 430 2 0
C2c15 0 259 2 780.003 230 2 0
C2a20 0.001 3059 3 780.006 3030 3 0
C2b20 0 659 3 780.006 630 3 0
C2c20 0 359 3 780.008 300 3 1
C2a25 0 3116 3 780.007 3059 3 0
C2b25 0 716 3 780.005 659 3 0
C2c25 0.001 416 3 780.008 359 3 0
RC1a10 0 439 6 780.007 439 6 0
RC1b10 0 142 5 780.004 142 5 0
RC1c10 0 90 4 780.006 90 4 0
RC1a15 0 652 9 780.007 652 9 0
RC1b15 0 210 7 780.004 205.9 6 1
RC1c15 0 162 5 780.005 142.9 6 5
RC1a20 0 804 11 780.007 804 11 0
RC1b20 0 266 9 780.007 261.9 8 1
RC1c20 0 179 5 780.008 169.9 7 4
RC1a25 0 970 13 780.005 940 13 2
RC1b25 0 334 9 780.008 293 8 7
RC1c25 0 218 6 780.008 199 8 6
RC2a10 0 581 3 780.007 506 3 1
RC2b10 0 176 4 780.004 146 3 2
RC2c10 0 116 4 780.006 101 3 1
RC2a15 0 684 4 780.007 682 4 0
RC2b15 0.001 206 5 780.007 202 4 2
RC2c15 0 131 5 780.005 131 5 0
RC2a20 0 888 5 780.006 806 5 3
RC2b20 0 236 6 780.007 206 5 2
RC2c20 0 146 6 780.004 131 5 1
RC2a25 0 886 5 780.003 834 5 0
RC2b25 0 236 6 780.002 236 6 0
RC2c25 0 146 6 780.004 146 6 0
