Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: Hybrid
Instance Time_SCIH2 Result_SCIH2 #Routes Time_Hybrid Hybrid Routes Qt.Improvements
R1a10 0 352 6 780.006 332 6 2
R1b10 0 104 6 780.007 104 6 0
R1c10 0 87 4 780.007 74 5 3
R1a15 0 480 8 780.008 430 8 5
R1b15 0 164 5 780.004 148 7 8
R1c15 0 125 5 780.005 105 6 5
R1a20 0 653 11 780.005 562 10 9
R1b20 0 202 8 780.007 182 8 8
R1c20 0 148 8 780.008 130 8 6
R1a25 0 838 14 780.005 703 12 9
R1b25 0 260 9 780.007 234 10 6
R1c25 0 189 9 780.005 166 10 9
R2a10 0 536 1 780.008 536 1 0
R2b10 0 176 1 780.006 176 1 0
R2c10 0 180 4 780.007 131 4 3
R2a15 0 2340 5 780.004 2310 5 1
R2b15 0 540 5 780.007 510 5 1
R2c15 0 315 7 780.007 270 7 2
R2a20 0 1140.6 2 780.008 1043 2 5
R2b20 0 385.8 2 780.004 324.5 2 3
R2c20 0 284 5 780.007 233 5 5
R2a25 0 1195.5 2 780.007 1099 2 3
R2b25 0 413.8 2 780.006 369 2 2
R2c25 0.001 374 7 780.01 278 7 9
C1a10 0 943 3 780.008 900 3 2
C1b10 0 223 3 780.007 180 3 2
C1c10 0 133 3 780.004 90 3 2
C1a15 0 973 3 780.004 959 3 1
C1b15 0 253 3 780.004 239 3 1
C1c15 0 163 3 780.007 149 3 1
C1a20 0 1273 4 780.007 1259 4 1
C1b20 0 313 4 780.005 299 4 1
C1c20 0 193 4 780.007 179 4 1
C1a25 0 1729.1 5 780.006 1588 5 3
C1b25 0 430 5 780.008 388 5 3
C1c25 0 280 5 780.003 238 5 3
C2a10 0 2030 2 780.004 2030 2 0
C2b10 0 430 2 780.006 430 2 0
C2c10 0.001 230 2 780.006 230 2 0
C2a15 0 2059 2 780.005 2030 2 1
C2b15 0 459 2 780.006 430 2 1
C2c15 0 259 2 780.006 230 2 1
C2a20 0 3059 3 780.004 3000 3 2
C2b20 0 659 3 780.007 600 3 2
C2c20 0 359 3 780.007 300 3 2
C2a25 0.001 3116 3 780.008 3059 3 2
C2b25 0 716 3 780.007 659 3 2
C2c25 0 416 3 780.007 330 3 4
RC1a10 0 439 6 780.006 439 6 0
RC1b10 0 142 5 780.008 138 5 2
RC1c10 0 90 4 780.004 90 4 0
RC1a15 0 652 9 780.006 652 9 0
RC1b15 0 210 7 780.004 204.9 7 3
RC1c15 0 162 5 780.008 141.9 5 4
RC1a20 0 804 11 780.004 804 11 0
RC1b20 0 266 9 780.005 254 8 4
RC1c20 0 179 5 780.005 169 5 4
RC1a25 0 970 13 780.005 940 13 4
RC1b25 0 334 9 780.004 293 8 6
RC1c25 0 218 6 780.005 191 7 9
RC2a10 0 581 3 780.006 506 3 3
RC2b10 0 176 4 780.005 146 3 2
RC2c10 0 116 4 780.004 101 4 1
RC2a15 0.001 684 4 780.005 682 4 1
RC2b15 0 206 5 780.006 202 4 2
RC2c15 0 131 5 780.004 131 5 0
RC2a20 0 888 5 780.005 806 5 3
RC2b20 0.001 236 6 780.004 206 5 3
RC2c20 0 146 6 780.004 131 6 1
RC2a25 0.001 886 5 780.004 834 5 3
RC2b25 0 236 6 780.004 234 6 1
RC2c25 0 146 6 780.004 146 6 0
