Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: VNS Basic_Relocate
Instance Time_SCIH2 Result_SCIH2 #Routes Time_VNS VNS Routes Qt.Improvements
R1a10 0 352 6 780.013 332 6 2
R1b10 0 104 6 780.013 104 6 0
R1c10 0 87 4 780.007 74 4 2
R1a15 0 480 8 780.008 423 8 2
R1b15 0 164 5 780.012 147 5 2
R1c15 0 125 5 780.012 105 5 2
R1a20 0 653 11 780.012 557 11 5
R1b20 0 202 8 780.008 181 8 3
R1c20 0 148 8 780.01 130 8 4
R1a25 0 838 14 780.007 718 14 8
R1b25 0 260 9 780.013 229 9 6
R1c25 0 189 9 780.008 166 9 5
R2a10 0 536 1 780.009 536 1 0
R2b10 0 176 1 780.008 176 1 0
R2c10 0 180 4 780.008 131 4 4
R2a15 0 2340 5 780.01 2310 5 1
R2b15 0 540 5 780.013 510 5 1
R2c15 0 315 7 780.011 270 7 2
R2a20 0 1140.6 2 780.012 1043 2 7
R2b20 0.001 385.8 2 780.006 324.5 2 5
R2c20 0 284 5 780.013 224 5 3
R2a25 0.001 1195.5 2 780.013 1089 2 3
R2b25 0 413.8 2 780.012 369 2 2
R2c25 0.001 374 7 780.007 279.4 7 8
C1a10 0 943 3 780.008 900 3 2
C1b10 0 223 3 780.013 180 3 2
C1c10 0 133 3 780.011 90 3 2
C1a15 0 973 3 780.006 959 3 1
C1b15 0 253 3 780.008 239 3 1
C1c15 0 163 3 780.009 149 3 1
C1a20 0 1273 4 780.008 1259 4 1
C1b20 0 313 4 780.007 299 4 1
C1c20 0 193 4 780.014 179 4 1
C1a25 0.001 1729.1 5 780.012 1588 5 4
C1b25 0 430 5 780.013 388 5 4
C1c25 0 280 5 780.012 238 5 4
C2a10 0 2030 2 780.011 2030 2 0
C2b10 0 430 2 780.007 430 2 0
C2c10 0 230 2 780.007 230 2 0
C2a15 0 2059 2 780.01 2030 2 1
C2b15 0 459 2 780.01 430 2 1
C2c15 0 259 2 780.011 230 2 1
C2a20 0 3059 3 780.012 3000 3 2
C2b20 0 659 3 780.011 600 3 2
C2c20 0.001 359 3 780.012 300 3 2
C2a25 0.001 3116 3 780.011 3059 3 2
C2b25 0.001 716 3 780.008 659 3 2
C2c25 0 416 3 780.01 359 3 2
RC1a10 0 439 6 780.01 439 6 0
RC1b10 0 142 5 780.01 138 5 2
RC1c10 0 90 4 780.007 90 4 0
RC1a15 0 652 9 780.012 652 9 0
RC1b15 0 210 7 780.012 204.9 7 3
RC1c15 0 162 5 780.013 141.9 5 2
RC1a20 0 804 11 780.007 804 11 0
RC1b20 0 266 9 780.013 254 9 3
RC1c20 0 179 5 780.009 169 5 4
RC1a25 0.001 970 13 780.013 940 13 3
RC1b25 0.001 334 9 780.01 287 9 7
RC1c25 0 218 6 780.011 193 6 4
RC2a10 0 581 3 780.013 506 3 2
RC2b10 0 176 4 780.012 146 4 2
RC2c10 0 116 4 780.009 101 4 1
RC2a15 0 684 4 780.01 682 4 1
RC2b15 0 206 5 780.011 202 5 2
RC2c15 0 131 5 780.01 131 5 0
RC2a20 0 888 5 780.008 806 5 4
RC2b20 0 236 6 780.01 206 6 2
RC2c20 0 146 6 780.007 131 6 1
RC2a25 0 886 5 780.013 834 5 1
RC2b25 0 236 6 780.009 234 6 1
RC2c25 0 146 6 780.01 146 6 0
